cluster	size	tested_terms	significant_terms	top_term	top_p	top_BH_FDR
1	50	129	9	Rrna Metabolic Process	4.001658332399351e-11	1.5446401163061492e-08
2	31	91	18	Transmembrane Transport	9.996053668704458e-05	0.0021435981756221783
3	12	32	5	Spliceosomal Snrnp Assembly	4.111084354783838e-06	0.00012206758161127393
4	11	10	4	Mitochondrial Translation	2.747615639104752e-09	1.7676327278240572e-07
5	8	62	12	Mrna Processing	7.848719064530604e-05	0.0017821209170051841
6	7	40	0	Enzyme Directed Rrna Pseudouridine Synthesis	0.01376425121651237	0.07179731039964561
7	7	14	8	Trna Wobble Uridine Modification	1.6703770842854666e-10	2.1492185151139673e-08
8	5	0	0			
9	4	8	2	Vesicle Mediated Transport	1.0421204232676313e-06	3.656895303466415e-05
